,internal_temp,humidity,weight,surface_temp,fan_rpm,air_pressure,heater_state
0,27.01,56.06,4999.75,25.55,1742.9,15.216,1.0
1,28.59,57.22,4999.42,27.33,1754.6,15.348,1.0
2,30.23,56.28,4999.27,28.36,1695.5,14.403,1.0
3,32.59,54.71,4999.14,31.27,1690.6,14.654,1.0
4,34.14,54.85,4998.87,33.03,1754.4,15.101,1.0
5,36.11,51.01,4998.62,34.06,1717.5,14.605,1.0
6,38.16,49.51,4998.24,35.63,1753.7,15.187,1.0
7,40.13,46.71,4997.91,38.16,1715.4,14.808,1.0
8,42.35,44.46,4997.78,41.34,1680.1,14.678,1.0
9,44.55,43.59,4997.4,42.07,1774.8,15.491,1.0
10,46.14,42.37,4997.07,44.23,1716.5,14.788,1.0
11,47.66,43.61,4996.8,45.83,1765.1,15.386,1.0
12,49.99,40.74,4996.56,48.84,1738.2,15.284,1.0
13,51.86,38.56,4996.39,50.78,1779.5,15.393,1.0
14,53.78,35.89,4996.03,51.28,1671.3,14.306,1.0
15,56.08,34.55,4995.78,53.39,1744.4,15.156,1.0
16,57.63,31.89,4995.4,54.73,1742.6,15.089,1.0
17,59.78,31.29,4995.05,57.73,1742.7,15.567,1.0
18,61.65,30.41,4994.92,59.08,1742.2,15.281,1.0
19,63.64,28.23,4994.67,62.12,1695.1,14.54,1.0
20,65.19,27.2,4994.56,63.46,1753.8,15.468,1.0
21,67.35,24.25,4994.26,66.16,1715.6,14.749,1.0
22,69.31,25.44,4994.02,66.49,1745.4,14.925,1.0
23,71.34,24.66,4993.64,69.7,1762.0,15.212,1.0
24,73.38,21.92,4993.28,72.35,1692.1,14.558,1.0
25,75.15,20.49,4993.15,72.49,1732.4,14.926,1.0
26,77.04,20.37,4992.86,74.31,1740.5,14.946,1.0
27,79.39,16.33,4992.56,77.13,1678.2,14.841,1.0
28,80.0,16.49,4992.37,77.8,1718.3,15.14,1.0
29,80.0,14.86,4992.25,77.21,1721.7,14.898,1.0
30,80.0,17.04,4991.95,77.59,1721.9,14.712,1.0
31,80.0,17.11,4991.71,77.75,1713.7,14.957,1.0
32,80.0,15.81,4991.47,78.08,1718.3,15.307,1.0
33,80.0,16.29,4991.2,77.0,1748.1,15.296,1.0
34,80.0,15.25,4990.92,78.07,1688.0,14.649,1.0
35,80.0,16.09,4990.7,77.21,1726.3,14.977,1.0
36,80.0,15.55,4990.39,78.99,1748.3,15.5,1.0
37,80.0,15.64,4990.05,78.9,1742.2,15.058,1.0
38,80.0,14.0,4989.94,77.98,1722.6,14.637,1.0
39,80.0,13.92,4989.76,77.94,1743.9,15.153,1.0
40,80.0,17.04,4989.41,78.64,1763.2,14.881,1.0
